power,angularSpeed(degParSec)
0,0
1,18
2,5
3,50
4,52
5,60
6,65
7,76
8,94
9,36
10,86
11,97
12,110
13,104
14,138
15,98
16,160
17,176
18,175
19,190
20,196
21,185
22,198
23,241
24,247
25,263
26,258
27,151
28,278
29,300
30,293
31,289
32,336
33,340
34,355
35,359
36,378
37,406
38,395
39,423
40,442
41,426
42,439
43,482
44,466
45,450
46,483
47,461
48,494
49,492
50,494
51,492
52,494
53,492
54,494
55,492
56,494
57,492
58,494
59,492
60,494
61,492
62,494
63,492
64,494
65,492
66,494
67,492
68,494
69,492
70,494
71,492
72,494
73,492
74,494
75,492
76,494
77,492
78,494
79,492
80,494
81,492
82,494
83,492
84,494
85,492
86,494
87,492
88,494
89,492
90,494
91,492
92,494
93,492
94,494
95,492
96,494
97,492
98,494
99,492
100,494
